,Title,Content
0,"टाइगर श्रॉफ ने शेयर 'उधार की ली टोपी' में तस्वीरें, फैंस ने कहा- आप मार डालोंगे किस दिन",अभिनेता टाइगर श्रॉफ फिल्मों में अपने जबरदस्त एक्शन और अपनी फिटनेस को लेकर काफी चर्चा में रहते हैं। अब सोमवार को उन्होंने सोशल मीडिया पर शर्टलेस तस्वीरें शेयर की हैं जिसमें वो अपने एब्स फ्लॉट करते दिख रहे हैं।
1,"'मैं जावेद अख्तर की पोती नहीं हूं' टी-शर्ट पर प्रिंट करवाकर घूम रहीं उर्फी जावेद, लोग बोले- 'चलो पूरे कपड़े तो पहने'",उर्फी हमेशा ही अपने सिजलिंग फोटोज और वीडियोज से इंटरनेट का पारा हाई ही रखती हैं। पर कुछ लोग हैं कि उनकी ड्रेस के बारे में बात करने के बजाए उन्हें गीतकार जावेद अख्तर की पोती साबित करने में जुटे रहते हैं। 
2,"कोरोना के चलते अब पोस्टपोन हुई 'द कश्मीर फाइल्स', गणतंत्र दिवस पर होने वाली थी रिलीज",द कश्मीर फाइल्स की कहानी 90 के दौर में कश्मीर में हिदुओं के नरसंहार और पलायन की पृष्ठभूमि पर आधारित है। फिल्म में मिथुन चक्रवर्ती अनुपम खेर पल्लवी जोशी दर्शन कुमार और पुनीत इस्सर अहम भूमिकाओं में नजर आएंगे।
3,"विराट कोहली ने किया कन्फर्म, तीसरे टेस्ट मैच में नहीं खेलेगा यह भारतीय तेज गेंदबाज", विराट कोहली ने ये भी कन्फर्म किया कि वो तीसरे मैच के लिए पूरी तरह से फिट हैं और टीम की कप्तानी करेंगे। वहीं कोहली के मुताबिक वो सिराज को लेकर कोई भी रिस्क नहीं लेना चाहते हैं जो इस वक्त इंजर्ड हैं। 
4,"साइना नेहवाल पर रंग दे बसंती के एक्टर सिद्धार्थ ने किया विवादित ट्वीट, महिला आयोग ने FIR का दिया आदेश",इस पूरे मामले पर राष्ट्रीय महिला आयोग की अध्यक्ष ने ट्विटर इंडिया को पत्र लिख कर साइना नेहवाल पर अभिनेता सिद्धार्थ के ट्विटर अकाउंट को तुरंत ब्लाक करने के लिए मांग की है। साथ ही एफआइआर दर्ज करने का आदेश दिया है। 
5,"श्रीलंका ने भारत की मदद से शुरू की लग्जरी ट्रेन सेवा, तमिल बहुल जाफना जिले को राजधानी कोलंबो से जोड़ेगी",श्रीलंका ने भारत की तरफ से दी गई ऋण सहायता की मदद से देश के तमिल बहुल जाफना जिले को राजधानी कोलंबो से जोड़ने वाली लग्जरी ट्रेन सेवा शुरू की है। श्रीलंका की परिवहन मंत्री ने इसके लिए भारत सरकार के प्रति आभार प्रकट किया है।
6,"Lohri 2022: 13 जनवरी को मनाई जाएगी लोहड़ी, जानिए इसके बारें में कुछ रोचक बातें","Lohri 2022 लोहड़ी का पर्व उत्तर भारत खासतौर पर पंजाब हरियाणा और हिमाचल के क्षेत्र में धूम-धाम से मनाया जाता है। लोहड़ी का त्योहार इस साल 13 जनवरी को रविवार के दिन मनाया जाएगा। आइए जानते हैं लोहड़ी के बारें में कुछ रोचक बातें ...
								"
7,सुजुकी बाइक का क्रेज! कंपनी ने गुरुग्राम प्लांट से मार्केट में उतारी 60 लाख मोटरसाइकिल,"चाहे कार हो या बाइक्स इंडिया में सुजुकी का ही बोलबाला है। भारतीय बाजार में सुजुकी बाइक्स की डिमांड बढ़ती जा रही है। ऐसे में सुजुकी मोटरसाइकिल ने अपने गुरुग्राम प्लांट से 60 लाख मोटरसाइकिल मार्केट में उतार दी है जो कंपनी की बि...
								"
8,विराट कोहली ने अपनी फार्म को लेकर दी ऐसी सफाई साथ ही तीसरे टेस्ट के लिए खुद को फिट बताया,विराट कोहली ने कहा कि मैं अपने उन पलों से बहुत प्रेरणा लेता हूं और चिंता करने की कोई बात नहीं है। मुझे सच में विश्वास है कि मुझे किसी के सामने खुद को साबित करने की जरूरत नहीं है। उन्होंने कहा मैं पूरी तरह से फिट हूं। 
9,"Share Market: शेयर बाजार में खूब बरसा पैसा, Sensex और Nifty को मिला अच्छा उछाल","Share Market Trends सप्ताह के पहले कारोबारी दिन सोमवार को शेयर बाजार में तेजी दिखी। बीएसई के सेंसेक्स और एनएसई के निफ्टी में उछाल देखा गया। दोनों ही इंडेक्स सुबह तेजी के साथ खुले। दिन भर थोड़ा उतार चढ़ाव तो रहा लेकिन तेजी बरक...
								"
10,Loan Tips: नहीं मिल रहा लोन? ये हैं एप्लीकेशन क्लियर कराने के टिप्स,How To Get Loan Application Cleared अगर जरूरत के समय आपका लोन अप्रूव ना हो तो यह बहुत ही ज्यादा फ्रस्ट्रेटिंग होता है क्योंकि जब कोई व्यक्ति लोन के लिए अप्लाई करता है तो यह स्वभाविक है कि उसे लोन की जरूरत होगी। 
11,कर्जमुक्त जीवन जीना है तो ये टिप्स आएंगे आपके काम,"लापरवाही तरीके से खर्च करना बिना किसी लक्ष्य के खर्च करने से व्यक्ति कर्ज के जाल में फंस सकता है। इसलिए जो कुछ भी करें वो प्लानिंग के साथ करें। अगर आप कर्ज के जाल में फंसे हैं तो कैसे निकलना है उसका भी तरीका है। जानें।

"
12,नए साल में Tax Saving के लिए निवेश करने से पहले जानें ये महत्वपूर्ण बातें,अपनी इनकम पर लगने वाले टैक्स को बचाने के लिए अनेकों विकल्प उपलब्ध हैं। लेकिन अधिकतर युवा सही जानकारी के अभाव में अपने पैसों का गलत निवेश करते हैं जिससे उन्हें टैक्स सेविंग का सही लाभ नहीं मिल पाता। 
13,"Bigg Boss 15 'अपनी फैमिली के अलावा कोई किसी का नहीं होता, तेजस्वी प्रकाश से झगड़े के बाद रोते हुए बोले करण कुंद्रा","बिग बॉस 15 के घर में कई कंटेस्टेंट्स के बीच झगड़ा देखने को मिलता है। शो के अंदर करण कुंद्रा और तेजस्वी प्रकाश अपने रिश्ते को लेकर भी चर्चा में रहते हैं। शो के अंदर इन दोनों के बीच कभी प्यार तो कभी तकरार देखने को मिलती रहती है...
								"
14,"गोवा: एक ही दिन में BJP को दो झटके, माइकल लोबो के बाद अब इन्होंने भी छोड़ा कमल का साथ",गोवा में भाजपा के एक और विधायक ने कमल का साथ छोड़ दिया है। मायमे से विधायक प्रवीण ने अपना इस्तीफा दे दिया है। इससे पहले आज सुबह ही कैबिनेट मंत्री माइकल लोबो ने अपना इस्तीफा दिया था।
15,"हरिद्वार धर्म संसद में आपत्तिजनक भाषणों का मामला पहुंचा सुप्रीम कोर्ट, स्वतंत्र जांच की मांग पर सर्वोच्‍च अदालत करेगी सुनवाई",सुप्रीम कोर्ट (Supreme Court) सोमवार को अल्पसंख्यक समुदाय के खिलाफ कथित रूप से हिंसा भड़काने वाले हरिद्वार धर्म संसद के भाषणों की स्वतंत्र जांच की मांग वाली याचिका पर सुनवाई के लिए सहमत हो गया। पढ़ें यह रिपोर्ट.... 
16,Fact Check Story : देश के पहले प्रधानमंत्री जवाहर लाल नेहरू के खिलाफ फेक पोस्‍ट वायरल," देश के पहले प्रधानमंत्री को बदनाम करने के लिए सोशल मीडिया के विभिन्‍न प्‍लेटफार्म पर एक पोस्‍ट वायरल की जा रही है। इसमें जवाहर लाल नेहरू के हवाले से कहा गया कि उन्‍होंने कहा था कि मैं शिक्षा से मुस्लिम संस्कृति से ईसाई दुर्भ...
								"
17,"कार बीमा प्रीमियम कम करने के आसान तरीके, इन टिप्स को करें फॉलो","अगर आप अपनी कार इंश्योरेंस के प्रीमियम को घटाने का बेस्ट तरीका खोज रहे हैं तो ये खबर आपके लिए है। अगर आपकी कार बीमा पॉलिसी खर्च बढ़ा रही है तो नीचे दी गई कुछ बातों को ध्यान में रखकर आप इंश्योरेंस की प्रीमियम को कम कर सकते हैं...
								"
18,Fact Check : यूपी पुलिस के नाम पर मास्‍क चेकिंग की फर्जी पोस्‍ट वायरल,"सोशल मीडिया में एक बार फिर से यूपी पुलिस के नाम पर फर्जी पोस्‍ट वायरल हो रही है। देश में कोविड के बढ़ते केस के बीच इस पोस्‍ट वायरल करते हुए लोग दावा कर रहे कि उत्तर प्रदेश पुलिस 30 दिन का मास्‍क चेकिंग अभियान शुरू करने जा रही...
								"
19,"कपिल शर्मा की पत्नी गिन्नी चतरथ ने किया खुलासा, किसी अमीर लड़के के बजाए कॉमेडियन से क्यों की शादी?","कपिल शर्मा नेटफ्लिक्स के शो में उसी अंदाज में नजर आएंगे जैसे द कपिल शर्मा शो में दिखते हैं। कुछ वो अपनी खिंचाई करेंगे तो कुछ दूसरे उनकी खिंचाई करते दिखेंगे। अहम बात यह है कि इस शो में कपिल की पत्नी गिन्नी चतरथ और मां भी मौजूद...
								"
20,"NIT पटना के छात्रों को सत्र पूरा होने के 6 माह पहले ही मिले 103 फीसदी जॉब ऑफर, 30 लाख तक का पैकेज",NIT Patna Placement 2022 एनआइटी पटना के प्लेसमेंट 2022 में भाग ले चुकी 100 से अधिक कंपनियों में से करीब 30 के नतीजे अभी आने हैं। स्टूडेंट्स को औसतन 10.20 लाख रुपये सालाना का पैकेज ऑफर किया जा चुका है।
21,"न्यूजीलैंड के कप्तान लेथम का बड़ा धमाका, 34 चौके, 2 छक्के से जमाया दोहरा शतक, बना डाला बड़ा रिकार्ड",Tom Latham double century कीवी कप्तान ने मैच के दूसरे दिन 185 रन से आगे खेलते हुए दोहरा शतक जमाया। यह उनके टेस्ट करियर का दूसरा दोहरा शतक रहा। इस दौरान उन्होंने क्राइस्टचर्च में सबसे बड़े स्कोर का व्यक्तिगत रिकार्ड बना डाला। 
22,"79th Golden Globe Awards: ‘द पॉवर ऑफ द डॉग’ बेस्ट फिल्म, विल स्मिथ बेस्ट एक्टर, देखें- विनर्स की पूरी लिस्ट","दुनियाभर में चर्चित गोल्डन ग्लोब अवॉर्ड्स समारोह के  79वें संस्करण के विजेताओं का एलान सोमवार को वेबसाइट और सोशल मीडिया के जरिए किया गया। कोरोना वायरस के बढ़ते मामलों की वजह से पुरस्कार समारोह का रेड कारपेट आयोजित नहीं किया ग...
								"
23,"Covid-19 3rd Wave: क्या है डबल इंफेक्शन 'फ्लूरोना', जानें इसके बारे में सबकुछ!",भारत में भी ओमिक्रॉन के मामले तेज़ी से बढ़ रहे हैं। जनवरी के पहले हफ्ते में 3 हज़ार से ज़्यादा मामले आ चुके हैं। कुल मिलाकर कोविड-19 संक्रमण के मामले औसतन 15% से 20% प्रतिदिन की दर से बढ़ रहे हैं।
24,"जानें, क्या है भगवान सूर्य और शनिदेव का संबंध","किदवंती है कि चिरकाल में भगवान सूर्य का विवाह संज्ञा से संपन्न हआ। विवाह उपरांत संज्ञा अपने ससुराल सूर्यलोक चली गई। हालांकि संज्ञा अपने पति सूर्यदेव की तेज से हमेशा विचलती रहती थी। उनके लिए सूर्यदेव की ताप झेलना बेहद कठिन था।...
								"
25,"'80% बनाम 20%' सीएम योगी के बयान पर सियासी बवाल, दिग्विजय सिंह ने की कार्रवाई की मांग",यूपी के सीएम योगी आदित्यनाथ के एक बयान पर विवाद हो रहा है। योगी के 80% बनाम 20% वाले बयान को लेकर कांग्रेस ने उनकी आलोचना की है। कांग्रेस नेता दिग्विजय सिंह ने चुनाव आयोग से कार्रवाई की मांग की है।
26,"गोवा में भाजपा को बड़ा झटका, माइकल लोबो का मंत्री पद से इस्तीफा, विधायकी भी छोड़ी",Goa Assembly Election गोवा के कैबिनेट मंत्री माइकल लोबो ने अपने पद से इस्तीफा दे दिया है। उन्होंने अपनी विधायकी भी छोड़ दी है। माइकल लोबो ने गोवा में भाजपा नेतृत्व पर सवाल उठाए हैं। गोवा में 14 फरवरी को विधानसभा चुनाव होगा
27,"बिहार सहित इन प्रदेशों में अगले 4 दिन तक भारी बारिश की चेतावनी, इन राज्यों में पड़ेगी कड़ाके की ठंड","मौसम विभाग के अनुसार बारिश के कारण दिल्ली हरियाणा पंजाब पश्चिमी उत्तर प्रदेश और राजस्थान में अगले 3 से 4 दिनों में शीतलहर के आसार हैं इसी के ही साथ उत्तराखंड हिमाचल और जम्मू-कश्मीर के कई इलाकों में भी बारिश और बर्फबारी का दौर...
								"
28,'केपटाउन टेस्ट जीतने के लिए चार तेज गेंदबाज और एक स्पिनर नहीं बल्कि इस गेंदबाजी कांबिनेशन के साथ भारत को उतरना चाहिए',साउथ अफ्रीका में अब तक खेले गए दो टेस्ट मैचों में भारतीय टीम चार तेज गेंदबाज और एक स्पिनर के साथ मैदान पर उतरी है। अब तीसरे टेस्ट मैच में भी कुछ इसी तरह का कांबिनेशन देखने को मिल सकता है लेकिन हरभजन सिंह की सोच जरा हटकर है।
29,"Ind vs SA: आखिरी टेस्ट में टीम इंडिया के प्लेइंग इलेवन में दो बदलाव, इन खिलाड़ियों को मिल सकती है जगह","कप्तान विराट कोहली की वापसी तय मानी जा रही है जबकि चोटिल गेंदबाज मोहम्मद सिराज की जगह भी एक गेंदबाज को प्लेइंग इलेवन में जगह दिया जाना पक्का है। केप टाउन टेस्ट में भारत सीरीज को अपने नाम इतिहास रचने के इरादे से उतरने वाला है।...
								"
30,"PM Security Breach: विदेश से आया गुमनाम कॉल, मोदी की सुरक्षा में सेंध लगाने की ली जिम्मेदारी","सुप्रीम कोर्ट द्वारा मामले की जांच के लिए समिति गठित किए जाने के फैसले के बाद सामने आया है कि सुप्रीम कोर्ट के 50 से ज्यादा वकीलों को अंतरराष्ट्रीय नंबर से फोन किया गया है।  फोन करके पीएम की सुरक्षा में सेंध लगाने की जिम्मेदा...
								"
31,"तमिलनाडु को पीएम मोदी की बड़ी सौगात, 12 जनवरी को 11 नए मेडिकल कालेज का करेंगे उद्घाटन","पीएम नरेंद्र मोदी तमिलनाडु में 11 नए सरकारी मेडिकल कालेज का उद्घाटन करेंगे। 12 जनवरी को वीडियो कांफ्रेंसिंक के जरिए पीएम मोदी इस कार्यक्रम में शामिल होंगे। मोदी राज्य में सेंट्रल इंस्टीट्यूट ऑफ क्लासिकल तमिल (सीआईसीटी) के नए ...
								"
32,"लॉन्च हुई स्कोडा की 9 एयरबैग वाली ये धांसू कार, जानिए कीमत और इसके एडवांस फीचर्स","koda Kodiaq facelift launched स्कोडा ने सोमवार को अपनी एक नई कार लॉन्च कर दी है। koda Kodiaq facelift को पहले ग्लोबल स्तर पर पेश किया जा चुका था। वहीं आज इसको भारतीय बाजार में लॉन्च कर दिया गया है। तो आइए जानें इसके फीचर्स और...
								"
33,"प्रदूषण बढ़ा रहा है कोरोना से जान का खतरा, एक्‍सपर्ट से जानिए- कैसे रह सकते हैं सुरक्षित","वैज्ञानिकों ने कोविड महामारी से साफ हवा और बेहतर पर्यावरण के संबंध के बारे में इस शोध में बताया है। रिसर्च में पाया गया कि साफ हवा वाले इलाकों की तुलना में प्रदूषित हवा वाले इलाकों में लोगों के बीमार होने और वहां लोगों की मृत...
								"
34,"'रामायण' की 'सीता' को मॉडर्न ड्रेस में देख लोग हुए हैरान, पूछा- 'माता ये कौन सा रूप है आप का'",दीपिका ने अपने इंस्टाग्राम अकाउंट पर एक थ्रोबैक फोटो शेयर की है। ये तस्वीर मैसूर पैलेस की है क्योंकि उन्होंने लोकेश में यहीं प्लेस टैग किया है। जो सबका ध्यान खींच रहा है वो है दीपिका का आउटफिट
35,"मालदीव में सनी लियोनी ने दिखाया अपना बिकिनी अंदाज, बोल्ड पोज देते हुए एक्ट्रेस ने ढाया कहर",फिल्मों के अलावा बॉलीवुड अभिनेत्री सनी लियोनी अपने बोल्ड अंदाज को लेकर भी चर्चा में रहती हैं। उनकी अक्सर बोल्ड तस्वीरें और वीडियो सोशल मीडिया पर वायरल होते रहते हैं। इन दिनों सनी लियोनी मालदीव में वेकेशन मना रही हैं।
36,"होटल में मृत मिले मशहूर कॉमेडी कलाकार बॉब सेगेट, प्रियंका चोपड़ा समेत कई  सेलेब्स ने 'डैड ऑफ सेंचुरी' को दी श्रद्धांजलि","Bob Saget Death बॉब की मृत्यु में पुलिस को अभी तक किसी साजिश या ड्रग्स का इस्तेमाल करने के सबूत नहीं मिले हैं। हालांकि मृत्यु का सही कारण मेडिकल जांच के बाद ही सामने आएगा। बॉब ने पिछले साल सितम्बर में देशव्यापी स्टैंड अप कॉमे...
								"
37,"Paush Purnima 2022: जानें, पौष पुर्णिमा की तिथि और पूजा विधि","Paush Purnima 2022 इस दिन ब्रह्म बेला में उठें और घर की साफ़-सफाई करें। कोरोना वायरस महामारी के चलते पवित्र नदियों में स्नान करना संभव नहीं है। ऐसे में घर पर गंगाजल युक्त पानी से स्नान कर भगवान भास्कर को ॐ नमो नारायणाय मंत्र क...
								"
38,"राकेश रोशन ने ऋतिक रोशन की 'कृष 4' पर कही बड़ी बात, जानिए कब से शुरू होगी फिल्म",कृष फ्रेचाइजी की चौथी फिल्म कृष को लेकर एक बार फिर अटकले शुरू हो गई हैं।  अब फिल्म निर्देशक निर्माता और ऋतिक रोशन के पिता राकेश रोशन ने कृष 4 को लेकर बताया कि ये महामारी खत्म होते ही वो फिल्म पर काम शुरू कर देंगे।
